Code,Title,Description
open,Open,Any interested supplier may submit.
restricted,Restricted,Two-stage: select then invite.
competitiveFlexible,Competitive flexible procedure,Bespoke multi-stage procedure (UK Procurement Act 2023).
directAward,Direct award,Award without competition where permitted.
frameworkCallOff,Framework call-off,Call-off competition under an existing framework.
