Code,Title,Description
tenderNotice,Tender notice,Notice advertising a sourcing event.
evaluationCriteria,Evaluation criteria,The published evaluation model.
specification,Specification,Technical or service specification.
signedContract,Signed contract,The executed contract document.
evidence,Evidence,Evidence of obligation fulfilment.
